id,poj_input,poj_other_input,poj_unicode,poj_other_unicode,tailo_input,tailo_other_input,tailo_unicode,tailo_other_unicode,hoagi,page_number
4023,Seng3-tan3 lau7-lang5,,Sèng-tàn lāu-lâng,,Sing3-tan3 lau7-lang5,,Sìng-tàn lāu-lâng,,聖誕老人,561
4024,Seng3-keng,,Sèng-keng,,Sing3-king,,Sìng-king,,聖經,561
4025,Seng-thian,,Seng-thian,,Sing-thian,,Sing-thian,,昇天,561
4026,Seng-oah8,,Seng-oa̍h,,Sing-oah8,,Sing-oa̍h,,生活,561
4027,Seng-ki5,,Seng-kî,,Sing-ki5,,Sing-kî,,星期,561
4028,Seng5-chek,,Sêng-chek,,Sing5-tsik,,Sîng-tsik,,成績,561
4029,Seng5-chek-pio2,,Sêng-chek-pió,,Sing5-tsik-pio2,,Sîng-tsik-pió,,成績表,561
4030,Seng5,Chhin-chhiunn7,Sêng,Chhin-chhiūⁿ,Sing5,Tshin-tshiunn7,Sîng,Tshin-tshiūnn,像,561
4031,Seng5,,Sêng,,Sing5,,Sîng,,成,562
4032,U7 seng5,,Ū sêng,,U7 sing5,,Ū sîng,,成,562
4033,Bo5 seng5,,Bô sêng,,Bo5 sing5,,Bô sîng,,不成,562
4034,Seng-kip,,Seng-kip,,Sing-kip,,Sing-kip,,升級,562
4035,Seng-but8,,Seng-bu̍t,,Sing-but8,,Sing-bu̍t,,生物,562
4036,Seng3-te7,,Sèng-tē,,Sing3-te7,,Sìng-tē,,性情,562
4037,Ho2 seng3-te7,,Hó sèng-tē,,Ho2 sing3-te7,,Hó sìng-tē,,性情好,562
4038,Phainn2 seng3-te7,,Pháiⁿ sèng-tē,,Phainn2 sing3-te7,,Pháinn sìng-tē,,性情壞、壞脾氣,562
4039,Si7,,Sī,,Si7,,Sī,,是,563
4040,Si5,,Sî,,Si5,,Sî,,時,563
4041,Si5-chun7,,Sî-chūn,,Si5-tsun7,,Sî-tsūn,,時候,563
4042,Si5-kan,,Sî-kan,,Si5-kan,,Sî-kan,,時間,563
4043,Chit8 si5-a2,,Chi̍t sî-á,,Tsit8 si5-a2,,Tsi̍t sî-á,,瞬時,563
4044,Si5-pio2,,Sî-pió,,Si5-pio2,,Sî-pió,,錶,563
4045,Si5-cheng,,Sî-cheng,,Si5-tsing,,Sî-tsing,,時鐘,564
4046,Si5-kan-pio2,,Sî-kan-pió,,Si5-kan-pio2,,Sî-kan-pió,,時間表,564
4047,Si2-khi3,,Sí-khì,,Si2-khi3,,Sí-khì,,死去,564
4048,Si,,Si,,Si,,Si,,絲,564
4049,Si7-toa7,,Sī-tōa,,Si7-tua7,,Sī-tuā,,長輩、長上,564
4050,Si7-se3,,Sī-sè,,Si7-se3,,Sī-sè,,下屬、下輩,564
4051,Si7-toa7 lang5,,Sī-tōa lâng,,Si7-tua7 lang5,,Sī-tuā lâng,,長輩者、父母,564
4052,Si5,,Sî,,Si5,,Sî,,辭,564
4053,Si3-kak,,Sì-kak,,Si3-kak,,Sì-kak,,四角,565
4054,Si5-kiann5,Liu5-heng5,Sî-kiâⁿ,Liû-hêng,Si5-kiann5,Liu5-hing5,Sî-kiânn,Liû-hîng,流行、時髦,565
4055,Si5-koe,Si-koe,Sî-koe,Si-koe,Si5-kue,Si-kue,Sî-kue,Si-kue,西瓜,565
4056,Si,,Si,,Si,,Si,,詩,565
4057,Sinn3,Senn3,Sìⁿ,Sèⁿ,Sinn3,Senn3,Sìnn,Sènn,姓,565
4058,Sinn,Senn,Siⁿ,Seⁿ,Sinn,Senn,Sinn,Senn,生,566
4059,Sinn ang5-enn inn-a2,,Siⁿ âng-eⁿ iⁿ-á,,Sinn ang5-enn inn-a2,,Sinn âng-enn inn-á,,生孩子,566
4060,Sinn-jit8,,Siⁿ-ji̍t,,Sinn-jit8,,Sinn-ji̍t,,生日,566
4061,Sinn-sian,,Siⁿ-sian,,Sinn-sian,,Sinn-sian,,生鏽,566
4062,Sian-sinn,Sin-senn,Sian-siⁿ,Sin-seⁿ,Sian-sinn,Sin-senn,Sian-sinn,Sin-senn,先生,566
4063,Sinn3-mia7,,Sìⁿ-miā,,Sinn3-mia7,,Sìnn-miā,,生命,566
4064,Sinn-koo,,Siⁿ-ko͘,,Sinn-koo,,Sinn-koo,,生黴,566
4065,Sinn3,Khoe-sinn3,Sìⁿ,Khoe-sìⁿ,Sinn3,Khue-sinn3,Sìnn,Khue-sìnn,扇,566
4066,Tian7-sinn3,,Tiān-sìⁿ,,Tian7-sinn3,,Tiān-sìnn,,電扇,566
4067,Sinn7,,Sīⁿ,,Sinn7,,Sīnn,,以鹽汁或酸水防腐,566
4068,Sinn7-iam5,,Sīⁿ-iâm,,Sinn7-iam5,,Sīnn-iâm,,以鹽醃,566
4069,Sia2,,Siá,,Sia2,,Siá,,寫,567
4070,Sia2 han3-ji7,,Siá hàn-jī,,Sia2 han3-ji7,,Siá hàn-jī,,寫漢文、寫中國字,567
4071,Sia2-phoe,Sia2 phe,Siá-phoe,Siá phe,Sia2-phue,Sia2 phe,Siá-phue,Siá phe,寫信,567
4072,Sia3-bian2,,Sià-bián,,Sia3-bian2,,Sià-bián,,赦免,567
4073,Sia5-im5,,Siâ-îm,,Sia5-im5,,Siâ-îm,,邪淫,567
4074,Sia,,Sia,,Sia,,Sia,,賒,567
4075,Sia7,,Siā,,Sia7,,Siā,,凋謝,567
