id,poj_input,poj_other_input,poj_unicode,poj_other_unicode,tailo_input,tailo_other_input,tailo_unicode,tailo_other_unicode,hoagi,page_number
94,ang-boo2,,ang-bó͘,,ang-boo2,,ang-bóo,,夫妻,17
95,ang5-phoe5-chhai3,kio5,âng-phôe-chhài,kiô,ang5-phue5-tshai3,kio5,âng-phuê-tshài,kiô,茄子,17
96,ang5-moo5-thoo5,ang5-mng5-thoo5/chui2-ni5,âng-mô͘-thô͘,âng-mn̂g-thô͘/chúi-nî,ang5-moo5-thoo5,ang5-mng5-thoo5/tsui2-ni5,âng-môo-thôo,âng-mn̂g-thôo/tsuí-nî,水泥,17
97,ap8,,a̍p,,ap8,,a̍p,,盒,17
98,ap-pek,,ap-pek,,ap-pik,,ap-pik,,壓迫,17
99,at,,at,,at,,at,,折,18
100,au7,,aū,,au7,,āu,,後,18
101,au7-piah,,aū-piah,,au7-piah,,āu-piah,,後面,18
102,au7-bin7,,aū-bīn,,au7-bin7,,āu-bīn,,後面,18
103,au7-pai2,,aū-pái,,au7-pai2,,āu-pái,,下次、往後,18
104,au7-lai5,,aū-lâi,,au7-lai5,,āu-lâi,,後來,18
105,au7--jit8,,aū--ji̍t,,au7--jit8,,āu--ji̍t,,後天,18
106,au7-jit8,,aū-ji̍t,,au7-jit8,,āu-ji̍t,,後來、以後,18
107,au7,,aū,,au7,,āu,,後、下,18
108,au7-ku3,,aū-kù,,au7-ku3,,āu-kù,,下句,19
109,au7 le2-pai3,,aū lé-pài,,au7 le2-pai3,,āu lé-pài,,下個禮拜（星期）,19
110,au7-chu2-jit8,,aū-chú-ji̍t,,au7-tsu2-jit8,,āu-tsú-ji̍t,,下個主日,19
111,au7-koo2-goeh8,,aū-kó͘-goe̍h,,au7-koo2-gueh8,,āu-kóo-gue̍h,,下個月,19
112,au7-goeh8-jit8,,aū-goe̍h-ji̍t,,au7-gueh8-jit8,,āu-gue̍h-ji̍t,,下個月,19
113,au7 le2-pai3 goo7,,aū lé-pài gō͘,,au7 le2-pai3 goo7,,āu lé-pài gōo,,下個禮拜五,19
114,au7-ni5,,aū-nî,,au7-ni5,,āu-nî,,將來,19
115,au7--ni5,,aū--nî,,au7--ni5,,āu--nî,,後年,19
116,au-a2,,au-á,,au-a2,,au-á,,甌、杯子,19
117,au-chiu,,au-chiu,,au-tsiu,,au-tsiu,,歐洲,19
118,au3,,aù,,au3,,àu,,腐,19
119,au2,,aú,,au2,,áu,,折,20
120,au7-bu2,au7-bo2,aū-bú,aū-bó,au7-bu2,au7-bo2,āu-bú,āu-bó,後母、繼母,20
121,ba7,,bā,,ba7,,bā,,碼,20
122,ba5,,bâ,,ba5,,bâ,,麻痹,20
123,ba5-ioh8,,bâ-io̍h,,ba5-ioh8,,bâ-io̍h,,麻醉藥,20
124,ba7,bat8,bā,ba̍t,ba7,bat8,bā,ba̍t,緊、密合的、密閉的,20
125,bah,,bah,,bah,,bah,,肉,21
126,ti-bah,,ti-bah,,ti-bah,,ti-bah,,猪肉,21
127,gu5-bah,,gû-bah,,gu5-bah,,gû-bah,,牛肉,21
128,iunn5-bah,,iûⁿ-bah,,iunn5-bah,,iûnn-bah,,羊肉,21
129,ke-bah,,ke-bah,,ke-bah,,ke-bah,,鷄肉,21
130,ah-bah,,ah-bah,,ah-bah,,ah-bah,,鴨肉,21
131,chiann-bah,san2-bah,chiaⁿ-bah,sán-bah,tsiann-bah,san2-bah,tsiann-bah,sán-bah,瘦肉,21
132,pui5-bah,,pûi-bah,,pui5-bah,,puî-bah,,肥肉,21
133,bah-thng,,bah-thng,,bah-thng,,bah-thng,,肉湯,21
134,bah-suh,,bah-suh,,bah-suh,,bah-suh,,公共汽車、巴士,22
135,bai2,,bái,,bai2,,bái,,醜,22
136,bai7,,bāi,,bai7,,bāi,,看,22
137,chhi3 khoann3-bai7,,chhì khòaⁿ-bāi,,tshi3 khuann3-bai7,,tshì khuànn-bāi,,試試看,22
138,chiah8 khoann3 bai7,,chia̍h khòaⁿ bāi,,tsiah8 khuann3 bai7,,tsia̍h khuànn bāi,,吃吃看,22
139,khi3 khoann3 bai7,,khì khòaⁿ bāi,,khi3 khuann3 bai7,,khì khuànn bāi,,去看看,22
140,cho3 khoann3-bai7,,chò khòaⁿ-bāi,,tso3 khuann3-bai7,,tsò khuànn-bāi,,做做看,22
141,phinn7 khoann3 bai7,,phīⁿ khòaⁿ bāi,,phinn7 khuann3 bai7,,phīnn khuànn bāi,,聞聞看,22
142,bak8-chiap,,ba̍k-chiap,,bak8-tsiap,,ba̍k-tsiap,,眼淚,22
143,bak8-sai2,,ba̍k-sái,,bak8-sai2,,ba̍k-sái,,眼淚,22
144,bak8-chiu,,ba̍k-chiu,,bak8-tsiu,,ba̍k-tsiu,,眼睛,22
145,chit8 bak8 nih-a2,,chi̍t ba̍k nih-á,,tsit8 bak8 nih-a2,,tsi̍t ba̍k nih-á,,一瞬間,22
146,bak8-iu5,,ba̍k-iû,,bak8-iu5,,ba̍k-iû,,目油（眼淚）,23
147,bak8-bai5,,ba̍k-bâi,,bak8-bai5,,ba̍k-bâi,,眉毛,23
148,bak8-chiu-moo,,ba̍k-chiu-mo͘,,bak8-tsiu-moo,,ba̍k-tsiu-moo,,睫毛,23
149,bak8-chiu-jin5,,ba̍k-chiu-jîn,,bak8-tsiu-jin5,,ba̍k-tsiu-jîn,,眼珠,23
150,bak8-chiu-phoe5,,ba̍k-chiu-phôe,,bak8-tsiu-phue5,,ba̍k-tsiu-phuê,,眼瞼,23
151,bak8-ioh8,,ba̍k-io̍h,,bak8-ioh8,,ba̍k-io̍h,,眼藥,23
152,bak8-sai2-ko,,ba̍k-sái-ko,,bak8-sai2-ko,,ba̍k-sái-ko,,眼脂,23
153,bak8-kiann3,,ba̍k-kiàⁿ,,bak8-kiann3,,ba̍k-kiànn,,眼鏡,23
154,koa3 bak8-kiann3,,kòa ba̍k-kiàⁿ,,kua3 bak8-kiann3,,kuà ba̍k-kiànn,,戴眼睛,23
155,bak8-chhiunn7-sai-hu7,,ba̍k-chhiūⁿ-sai-hū,,bak8-tshiunn7-sai-hu7,,ba̍k-tshiūnn-sai-hū,,木匠,23
156,bak8-chui2,,ba̍k-chúi,,bak8-tsui2,,ba̍k-tsuí,,墨水,23
157,bak chui2,,bak chúi,,bak tsui2,,bak tsuí,,玩水,24
158,bak8-kiah8,,ba̍k-kia̍h,,bak8-kiah8,,ba̍k-kia̍h,,木屐,24
159,ban7,,bān,,ban7,,bān,,慢、緩,24
160,ban7,,bān,,ban7,,bān,,萬,24
161,chit8 pah ban7,,chi̍t pah bān,,tsit8 pah ban7,,tsi̍t pah bān,,一百萬,24
162,ban7-it,,bān-it,,ban7-it,,bān-it,,萬一,24
163,ban7-lian5 pit,,bān-liân pit,,ban7-lian5 pit,,bān-liân pit,,自來水筆、萬年筆、鋼筆,24
164,ban2,,bán,,ban2,,bán,,採、摘,25
165,ban2 te5,,bán tê,,ban2 te5,,bán tê,,採茶葉,25
166,ban2 ong5-lai5,,bán ông-lâi,,ban2 ong5-lai5,,bán ông-lâi,,摘鳳梨,25
167,ban2 hoe,,bán hoe,,ban2 hue,,bán hue,,採花,25
168,ban2 chhai3,,bán chhài,,ban2 tshai3,,bán tshài,,摘菜,25
169,ban5,,bân,,ban5,,bân,,慢,25
170,bang7,,bāng,,bang7,,bāng,,夢,25
171,bang7-kinn3,,bāng-kìⁿ,,bang7-kinn3,,bāng-kìnn,,夢見,25
172,bang2,bang2-a2,báng,báng-á,bang2,bang2-a2,báng,báng-á,蚊子,26
173,bang2-ta3,,báng-tà,,bang2-ta3,,báng-tà,,蚊帳,26
174,bang7-a2,,bāng-á,,bang7-a2,,bāng-á,,網,26
175,bang7-a2-mng5,,bāng-á-mn̂g,,bang7-a2-mng5,,bāng-á-mn̂g,,網屏,26
176,bang7-kiu5,,bāng-kiû,,bang7-kiu5,,bāng-kiû,,網球,26
177,bang7,,bāng,,bang7,,bāng,,希望,26
178,u7 bang7,,ū bāng,,u7 bang7,,ū bāng,,有希望,26
179,bo5 bang7,,bô bāng,,bo5 bang7,,bô bāng,,沒有希望、絕望,26
180,bat,,bat,,bat,,bat,,曾經,27
181,m7-bat,,m̄-bat,,m7-bat,,m̄-bat,,未曾,27
182,bat8-sat,,ba̍t-sat,,bat8-sat,,ba̍t-sat,,臭蟲,27
183,bat,,bat,,bat,,bat,,認識,27
184,bat8,,ba̍t,,bat8,,ba̍t,,密,27
185,bauh8,pau-pan7,ba̍uh,pau-pān,bauh8,pau-pan7,ba̍uh,pau-pān,包辦、承辦,27
186,be7 hiau2,,bē hiáu,,be7 hiau2,,bē hiáu,,不會,28
187,be2,,bé,,be2,,bé,,馬,28
188,khia5 be2,,khiâ bé,,khia5 be2,,khiâ bé,,騎馬,28
189,be2,,bé,,be2,,bé,,買,28
190,be7,,bē,,be7,,bē,,賣,28
191,be2-be7,,bé-bē,,be2-be7,,bé-bē,,買賣,28
192,be7,,bē,,be7,,bē,,不,28
193,be7 eng7--tit,,bē ēng--tit,,be7 ing7--tit,,bē īng--tit,,不行、不能用的,28
194,be7-ki3-tit,,bē-kì-tit,,be7-ki3-tit,,bē-kì-tit,,忘記,28
195,be7 sin3--tit,,bē sìn--tit,,be7 sin3--tit,,bē sìn--tit,,不能信的,28
196,be7 jin7--tit,,bē jīn--tit,,be7 jin7--tit,,bē jīn--tit,,不認得,29
197,be7-tang3,,bē-tàng,,be7-tang3,,bē-tàng,,不能,29
198,be5-sin3,,bê-sìn,,be5-sin3,,bê-sìn,,迷信,29
199,be2-cho5,,bé-chô,,be2-tso5,,bé-tsô,,粖槽,29
200,be2-tiau5,,bé-tiâu,,be2-tiau5,,bé-tiâu,,馬廄,29
201,be7-tiau5,,bē-tiâu,,be7-tiau5,,bē-tiâu,,不牢,29
202,ki3 be7-tiau5,,kì bē-tiâu,,ki3 be7-tiau5,,kì bē-tiâu,,記不牢,29
203,kho2 be7-tiau5,,khó bē-tiâu,,kho2 be7-tiau5,,khó bē-tiâu,,考不上,30
204,liam5 be7-tiau5,,liâm bē-tiâu,,liam5 be7-tiau5,,liâm bē-tiâu,,黏不牢,30
205,khia7 be7-tiau5,,khiā bē-tiâu,,khia7 be7-tiau5,,khiā bē-tiâu,,站不住,30
206,pak8 be7-tiau5,,pa̍k bē-tiâu,,pak8 be7-tiau5,,pa̍k bē-tiâu,,縛不牢、綁不住,30
207,khun3 be7-tiau5,,khùn bē-tiâu,,khun3 be7-tiau5,,khùn bē-tiâu,,睡不着,30
208,chiah8 be7-tiau5,,chia̍h bē-tiâu,,tsiah8 be7-tiau5,,tsia̍h bē-tiâu,,吃不牢,31
209,be5,,bê,,be5,,bê,,迷、誘惑、奪魂,31
210,beh8-a2,,be̍h-á,,beh8-a2,,be̍h-á,,麥,31
211,beh8-a2-chiu2,,be̍h-á-chiú,,beh8-a2-tsiu2,,be̍h-á-tsiú,,啤酒、麥酒,31
212,hoan-beh8,,hoan-be̍h,,huan-beh8,,huan-be̍h,,玉米、玉蜀黍,31
213,beh,boeh,beh,boeh,beh,bueh,beh,bueh,要,32
214,beh8-a2,boeh8-a2,be̍h-á,boe̍h-á,beh8-a2,bueh8-a2,be̍h-á,bue̍h-á,襪子,32
215,chit8 siang boeh8-a2,,chi̍t siang boe̍h-á,,tsit8 siang bueh8-a2,,tsi̍t siang bue̍h-á,,一雙襪子,32
216,bek8-leng2-siann5,,be̍k-léng-siâⁿ,,bik8-ling2-siann5,,bi̍k-líng-siânn,,白冷城,32
217,bek8-siong2,,be̍k-sióng,,bik8-siong2,,bi̍k-sióng,,默想、沉思,32
218,bek8-si7,,be̍k-sī,,bik8-si7,,bi̍k-sī,,默示,32
219,bek8-si7 lok8,,be̍k-sī lo̍k,,bik8-si7 lok8,,bi̍k-sī lo̍k,,默示錄,32
220,beng5-pek8,,bêng-pe̍k,,bing5-pik8,,bîng-pi̍k,,明白,33
221,beng5-beng5,,bêng-bêng,,bing5-bing5,,bîng-bîng,,明瞭地,33
222,beng5-sin3 phian3,,bêng-sìn phiàn,,bing5-sin3 phian3,,bîng-sìn phiàn,,明信片,33
223,beng7,,bēng,,bing7,,bīng,,命,33
224,kai3-beng7,,kài-bēng,,kai3-bing7,,kài-bīng,,誡命,33
225,beng7-leng7,,bēng-lēng,,bing7-ling7,,bīng-līng,,命令,34
226,beng2,,béng,,bing2,,bíng,,猛,34
227,beng2-siu3,,béng-siù,,bing2-siu3,,bíng-siù,,猛獸,34
228,bi2-kok,,bí-kok,,bi2-kok,,bí-kok,,美國,34
229,bi2-kok lang5,,bí-kok lâng,,bi2-kok lang5,,bí-kok lâng,,美國人,34
230,bi2-sut8,,bí-su̍t,,bi2-sut8,,bí-su̍t,,美術,34
231,bi2-sut8-ka,,bí-su̍t-ka,,bi2-sut8-ka,,bí-su̍t-ka,,美術家,34
232,bi2-iong5-inn7,,bí-iông-īⁿ,,bi2-iong5-inn7,,bí-iông-īnn,,美容院,34
233,bi7,,bī,,bi7,,bī,,謎、猜,35
234,bi2,,bí,,bi2,,bí,,米,35
235,chut8-bi2,,chu̍t-bí,,tsut8-bi2,,tsu̍t-bí,,糯米,35
236,chai7-lai5 bi2,pun2-to2 bi2,chāi-lâi bí,pún-tó bí,tsai7-lai5 bi2,pun2-to2 bi2,tsāi-lâi bí,pún-tó bí,在來米,35
237,hong7-lai5-bi2,,hōng-lâi-bí,,hong7-lai5-bi2,,hōng-lâi-bí,,蓬萊米,35
238,bi2-le7,,bí-lē,,bi2-le7,,bí-lē,,美麗,35
239,bi2-jin5,,bí-jîn,,bi2-jin5,,bí-jîn,,美人,35
240,bi2-moa2,bi2-boan2,bí-móa,bí-boán,bi2-mua2,bi2-buan2,bí-muá,bí-buán,美滿,35
241,bian2,m7 bian2,bián,m̄ bián,bian2,m7 bian2,bián,m̄ bián,不必、不要,36
242,bian2 khi3,m7 bian2 khi3,bián khì,m̄ bián khì,bian2 khi3,m7 bian2 khi3,bián khì,m̄ bián khì,不必去,36
243,m7 bian2 kiann,,m̄ bián kiaⁿ,,m7 bian2 kiann,,m̄ bián kiann,,不要害怕,36
244,bian2-le7,,bián-lē,,bian2-le7,,bián-lē,,勉勵,36
245,bian2-chit,,bián-chit,,bian2-tsit,,bián-tsit,,免職,36
246,bian7-chu2,bian7-bok8,biān-chú,biān-bo̍k,bian7-tsu2,bian7-bok8,biān-tsú,biān-bo̍k,面子、面目,36
247,the2-bian7,the2-bin7,thé-biān,thé-bīn,the2-bian7,the2-bin7,thé-biān,thé-bīn,體面,36
248,sit the2-bian7,,sit thé-biān,,sit the2-bian7,,sit thé-biān,,失體面,36
249,bo5 the2-bian7,,bô thé-biān,,bo5 the2-bian7,,bô thé-biān,,失去面子,37
250,u7 the2-bian7,,ū thé-biān,,u7 the2-bian7,,ū thé-biān,,有體面,37
251,koo3 the2-bian7,,kò͘ thé-biān,,koo3 the2-bian7,,kòo thé-biān,,顧體面,37
252,biat8,,bia̍t,,biat8,,bia̍t,,滅,37
253,biat8-bong5,,bia̍t-bông,,biat8-bong5,,bia̍t-bông,,滅亡,37
254,bih,,bih,,bih,,bih,,隱匿、躲,37
255,bih sio chhoe7,,bih sio chhōe,,bih sio tshue7,,bih sio tshuē,,捉迷藏,38
256,bin7,,bīn,,bin7,,bīn,,面,38
257,goa7-bin7,,gōa-bīn,,gua7-bin7,,guā-bīn,,外面,38
258,lai7-bin7,,lāi-bīn,,lai7-bin7,,lāi-bīn,,內面,38
259,teng2-bin7,,téng-bīn,,ting2-bin7,,tíng-bīn,,上面,38
260,e7-bin7,,ē-bīn,,e7-bin7,,ē-bīn,,下面,38
261,bin7-sek,,bīn-sek,,bin7-sik,,bīn-sik,,面色,38
262,bin5-na2-chai3,,bîn-ná-chài,,bin5-na2-tsai3,,bîn-ná-tsài,,明天,38
263,bin5-na2-jit8,,bîn-ná-ji̍t,,bin5-na2-jit8,,bîn-ná-ji̍t,,明天,39
264,bin5-na2 chai2-khi2,,bîn-ná chái-khí,,bin5-na2 tsai2-khi2,,bîn-ná tsái-khí,,明天早上,39
265,bin5-na2 tiong-tau3,,bîn-ná tiong-tàu,,bin5-na2 tiong-tau3,,bîn-ná tiong-tàu,,明天中午,39
266,bin5-na2 e7-tau3,,bîn-ná ē-tàu,,bin5-na2 e7-tau3,,bîn-ná ē-tàu,,明天下午,39
267,bin5-na2 e7-poo,,bîn-ná ē-po͘,,bin5-na2 e7-poo,,bîn-ná ē-poo,,明天下午,39
268,bin5-na2 am3,,bîn-ná àm,,bin5-na2 am3,,bîn-ná àm,,明天晚上,39
269,bin5-chhng5,,bîn-chhn̂g,,bin5-tshng5,,bîn-tshn̂g,,床,39
270,bin5-bang7,,bîn-bāng,,bin5-bang7,,bîn-bāng,,夢、作夢,39
271,bin2,,bín,,bin2,,bín,,刷,39
272,bin2-a2,,bín-á,,bin2-a2,,bín-á,,刷子,40
273,khi2-bin2,khi2-bin2-a2,khí-bín,khí-bín-á,khi2-bin2,khi2-bin2-a2,khí-bín,khí-bín-á,牙刷,40
274,bin5-bin5,,bîn-bîn,,bin5-bin5,,bîn-bîn,,矇矓,40
275,bin7-kin,bin7-poo3,bīn-kin,bīn-pò͘,bin7-kin,bin7-poo3,bīn-kin,bīn-pòo,面巾（布）、毛巾,40
276,bin7-thang2,,bīn-tháng,,bin7-thang2,,bīn-tháng,,面盆,40
277,bin7-chu2,bian7-chu2,bīn-chú,biān-chú,bin7-tsu2,bian7-tsu2,bīn-tsú,biān-tsú,面子,40
278,bin5-bong7,,bîn-bōng,,bin5-bong7,,bîn-bōng,,民望,40
279,bin5-i3,,bîn-ì,,bin5-i3,,bîn-ì,,民意,40
280,bin5-soan2,,bîn-soán,,bin5-suan2,,bîn-suán,,民選,41
281,bin5-chu2 tek,,bîn-chú tek,,bin5-tsu2 tik,,bîn-tsú tik,,民主的,41
282,bin5-chu2 kok,,bîn-chú kok,,bin5-tsu2 kok,,bîn-tsú kok,,民主國,41
283,bin5-chu2 tong2,,bîn-chú tóng,,bin5-tsu2 tong2,,bîn-tsú tóng,,民主黨,41
284,bin5-chu2 chu2-gi7,,bîn-chú chú-gī,,bin5-tsu2 tsu2-gi7,,bîn-tsú tsú-gī,,民主主義,41
285,bin5-chiong3,,bîn-chiòng,,bin5-tsiong3,,bîn-tsiòng,,民眾,41
286,bin5-chok8,,bîn-cho̍k,,bin5-tsok8,,bîn-tso̍k,,民族,41
287,bin5-na2-chai3 e5 chim2-ma2,,bîn-ná-chài ê chím-má,,bin5-na2-tsai3 e5 tsim2-ma2,,bîn-ná-tsài ê tsím-má,,明天此時,41
288,bio7,,biō,,bio7,,biō,,廟,41
289,bio2,,bió,,bio2,,bió,,秒,41
290,bio5,,biô,,bio5,,biô,,描,41
291,bit8,,bi̍t,,bit8,,bi̍t,,蜜,42
292,bit8-phang,,bi̍t-phang,,bit8-phang,,bi̍t-phang,,蜜蜂,42
293,bit8-goat8,,bi̍t-goa̍t,,bit8-guat8,,bi̍t-gua̍t,,蜜月,42
294,bit8-goat8 li2-heng5,,bi̍t-goa̍t lí-hêng,,bit8-guat8 li2-hing5,,bi̍t-gua̍t lí-hîng,,蜜月（新婚）旅行,42
295,bit8-hoe7,,bi̍t-hōe,,bit8-hue7,,bi̍t-huē,,密會,42
296,bit8-ko3,,bi̍t-kò,,bit8-ko3,,bi̍t-kò,,密告,42
297,bit8-tam5,,bi̍t-tâm,,bit8-tam5,,bi̍t-tâm,,密談,43
298,bit8-gi7,,bi̍t-gī,,bit8-gi7,,bi̍t-gī,,密議,43
299,bo5,,bô,,bo5,,bô,,無、沒有,43
300,bo5 sim2-mih,,bô sím-mih,,bo5 sim2-mih,,bô sím-mih,,沒有什麼⋯⋯,43
301,bo5-chhai2,,bô-chhái,,bo5-tshai2,,bô-tshái,,可惜,43
302,bo5--khi3,,bô--khì,,bo5--khi3,,bô--khì,,掉了,43
303,bo5--khi3-a3,,bô--khì-à,,bo5--khi3-a3,,bô--khì-à,,死了,43
304,bo5 thau5-nau2,,bô thâu-náu,,bo5 thau5-nau2,,bô thâu-náu,,沒有腦袋、沒有頭腦（蠢）,43
305,bo5-tui3,,bô-tùi,,bo5-tui3,,bô-tuì,,不對,43
306,bo5 le2-mau7,,bô lé-māu,,bo5 le2-mau7,,bô lé-māu,,沒有禮貌,44
307,bo7-a2,,bō-á,,bo7-a2,,bō-á,,帽子,44
308,ti3 bo7-a2,,tì bō-á,,ti3 bo7-a2,,tì bō-á,,戴帽子,44
309,liu3 bo7-a2,,liù bō-á,,liu3 bo7-a2,,liù bō-á,,脫帽子,44
310,bo5 lun7,,bô lūn,,bo5 lun7,,bô lūn,,無論,44
311,bo5-lun7 sim2-mih,,bô-lūn sím-mih,,bo5-lun7 sim2-mih,,bô-lūn sím-mih,,無論甚麼,44
312,bo5-lun7 sim2-mih lang5,,bô-lūn sím-mih lâng,,bo5-lun7 sim2-mih lang5,,bô-lūn sím-mih lâng,,無論甚麼人,44
313,bo5-lun7 toh-ui7,,bô-lūn toh-uī,,bo5-lun7 toh-ui7,,bô-lūn toh-uī,,無論甚麼地方,44
314,bo5-lun7 sim2-mih soo2-chai7,,bô-lūn sím-mih só͘-chāi,,bo5-lun7 sim2-mih soo2-tsai7,,bô-lūn sím-mih sóo-tsāi,,無論甚麼地方,44
315,bo5 chhai2-kang,,bô chhái-kang,,bo5 tshai2-kang,,bô tshái-kang,,徒勞,44
316,bo2-chhin,bu2-chhin,bó-chhin,bú-chhin,bo2-tshin,bu2-tshin,bó-tshin,bú-tshin,母親,44
317,bo5 loo7 eng7,,bô lō͘ ēng,,bo5 loo7 ing7,,bô lōo īng,,沒有用處,45
318,bo5 su-iann5,,bô su-iâⁿ,,bo5 su-iann5,,bô su-iânn,,不分勝負,45
319,bo5 iau3-kin2,,bô iàu-kín,,bo5 iau3-kin2,,bô iàu-kín,,不要緊,45
320,bo5 koan-he7,,bô koan-hē,,bo5 kuan-he7,,bô kuan-hē,,沒有關係,45
321,bo5 li2 e5 koan-he7,,bô lí ê koan-hē,,bo5 li2 e5 kuan-he7,,bô lí ê kuan-hē,,沒有你的關係,45
322,bo5 li2 e5 tai7-chi3,,bô lí ê tāi-chì,,bo5 li2 e5 tai7-tsi3,,bô lí ê tāi-tsì,,這不是你的事,45
323,bo5 chu2-i3,bo5 se3-ji7,bô chú-ì,bô sè-jī,bo5 tsu2-i3,bo5 se3-ji7,bô tsú-ì,bô sè-jī,不注意的,45
324,bo5 tiunn-ti5,,bô tiuⁿ-tî,,bo5 tiunn-ti5,,bô tiunn-tî,,不是故意的,45
325,bo5 ian5-koo3,bo5 li2-iu5,bô iân-kò͘,bô lí-iû,bo5 ian5-koo3,bo5 li2-iu5,bô iân-kòo,bô lí-iû,沒有緣故（理由）,46
326,boo2,,bó͘,,boo2,,bóo,,妻,46
327,boo2-boo2,,bó͘-bó͘,,boo2-boo2,,bóo-bóo,,某某,46
328,cha-boo2,,cha-bó͘,,tsa-boo2,,tsa-bóo,,女性,46
329,cha-boo2--e5,,cha-bó͘--ê,,tsa-boo2--e5,,tsa-bóo--ê,,女的,46
330,cha-boo2 gin2-na2,,cha-bó͘ gín-ná,,tsa-boo2 gin2-na2,,tsa-bóo gín-ná,,女孩子,46
331,cha-boo2 kiann2,,cha-bó͘ kiáⁿ,,tsa-boo2 kiann2,,tsa-bóo kiánn,,女兒,46
332,boo7-ek8,,bō͘-e̍k,,boo7-ik8,,bōo-i̍k,,貿易,46
333,boo7 ek8 siong,,bō͘ e̍k siong,,boo7 ik8 siong,,bōo i̍k siong,,貿易商,47
334,boo7-chip8,,bō͘-chi̍p,,boo7-tsip8,,bōo-tsi̍p,,募集,47
335,boo7-koan,,bō͘-koan,,boo7-kuan,,bōo-kuan,,募捐,47
336,boo5-hoan7,,bô͘-hoān,,boo5-huan7,,bôo-huān,,模範,47
337,boah,,boah,,buah,,buah,,抹,47
338,boah iu5,,boah iû,,buah iu5,,buah iû,,抹油,48
339,boah ioh8-a2,,boah io̍h-á,,buah ioh8-a2,,buah io̍h-á,,抹藥,48
340,boah bak8 ioh8,,boah ba̍k io̍h,,buah bak8 ioh8,,buah ba̍k io̍h,,抹目藥,48
341,boah piah,,boah piah,,buah piah,,buah piah,,抹壁,48
342,boah-hun2,,boah-hún,,buah-hun2,,buah-hún,,抹粉,48
343,boe7,iau2-boe7,bōe,iáu-bōe,bue7,iau2-bue7,buē,iáu-buē,還沒、尚未,48
344,boe2,,bóe,,bue2,,bué,,尾,48
345,chit8 boe2 choa5,,chi̍t bóe chôa,,tsit8 bue2 tsua5,,tsi̍t bué tsuâ,,一條（尾）蛇,48
346,"u7 thau5, bo5 boe2",,"ū thâu, bô bóe",,"u7 thau5, bo5 bue2",,"ū thâu, bô bué",,有頭無尾,48
347,"hoo2 thau5, niau2-chhi2 boe2",,"hó͘ thâu, niáu-chhí bóe",,"hoo2 thau5, niau2-tshi2 bue2",,"hóo thâu, niáu-tshí bué",,虎頭鼠尾,48
348,bo5 thau5 bo5 boe2,,bô thâu bô bóe,,bo5 thau5 bo5 bue2,,bô thâu bô bué,,沒有頭緒,48
349,thau5 chit8 e5,thau5--a hit e5,thâu chi̍t ê,thâu--a hit ê,thau5 tsit8 e5,thau5--a hit e5,thâu tsi̍t ê,thâu--a hit ê,頭一個,49
350,choe3 au7 hit e5,siong7 loo7 boe2 hit e5/boe2--a hit e5,chòe aū hit ê,siōng lō͘ bóe hit ê/bóe--a hit ê,tsue3 au7 hit e5,siong7 loo7 bue2 hit e5/bue2--a hit e5,tsuè āu hit ê,siōng lōo bué hit ê/bué--a hit ê,最後那個,49
351,thau5 chit8 jit8,thau5--a hit jit8,thâu chi̍t ji̍t,thâu--a hit ji̍t,thau5 tsit8 jit8,thau5--a hit jit8,thâu tsi̍t ji̍t,thâu--a hit ji̍t,頭一天,49
352,boe2 jit8,loo7-boe2 jit8/boe2--a hit jit8,bóe ji̍t,lō͘-bóe ji̍t/bóe--a hit ji̍t,bue2 jit8,loo7-bue2 jit8/bue2--a hit jit8,bué ji̍t,lōo-bué ji̍t/bué--a hit ji̍t,最後一天,49
353,thau5--a hit nng7 e5,,thâu--a hit nn̄g ê,,thau5--a hit nng7 e5,,thâu--a hit nn̄g ê,,頭兩個,50
354,boe2--a hit nng7 e5,choe3-au7 hit nng7 e5,bóe--a hit nn̄g ê,chòe-aū hit nn̄g ê,bue2--a hit nng7 e5,tsue3-au7 hit nng7 e5,bué--a hit nn̄g ê,tsuè-āu hit nn̄g ê,最後兩個,50
355,thau5 chit8 ku3,thau5--a hit ku3,thâu chi̍t kù,thâu--a hit kù,thau5 tsit8 ku3,thau5--a hit ku3,thâu tsi̍t kù,thâu--a hit kù,頭一句,50
356,boe2--a hit ku3,choe3-au7 hit ku3,bóe--a hit kù,chòe-aū hit kù,bue2--a hit ku3,tsue3-au7 hit ku3,bué--a hit kù,tsuè-āu hit kù,最後那句,50
357,thau5--a hit goo7 phinn,,thâu--a hit gō͘ phiⁿ,,thau5--a hit goo7 phinn,,thâu--a hit gōo phinn,,頭那五頁,50
358,boe2--a hit goo7 phinn,choe3-au7 hit goo7 phinn,bóe--a hit gō͘ phiⁿ,chòe-aū hit gō͘ phiⁿ,bue2--a hit goo7 phinn,tsue3-au7 hit goo7 phinn,bué--a hit gōo phinn,tsuè-āu hit gōo phinn,最後五頁,50
359,thau5--a hit nng7 pai2,,thâu--a hit nn̄g pái,,thau5--a hit nng7 pai2,,thâu--a hit nn̄g pái,,頭兩次,50
360,boe2--a hit nng7 pai2,choe3-au7 hit nng7 pai2,bóe--a hit nn̄g pái,chòe-aū hit nn̄g pái,bue2--a hit nng7 pai2,tsue3-au7 hit nng7 pai2,bué--a hit nn̄g pái,tsuè-āu hit nn̄g pái,最後兩次,50
