id,poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,abbreviations,noun_classifiers,reduplication,hoabun,english_descriptions,page_number
35270,thîⁿ-hé/hóe,thinn5-he2/hoe2,thînn-hé/hué,thinn5-he2/hue2,"VO ",,,受光目眩,be dazzled by fire,
35271,thîⁿ-ji̍t,thinn5-jit8,thînn-ji̍t,thinn5-jit8,"VO ",,,受日目眩,be dazzled by the sun,
35272,thîⁿ-kng,thinn5-kng,thînn-kng,thinn5-kng,"VO ",,,受光目眩,be dazzled by light,
35273,thīⁿ,thinn7,thīnn,thinn7,"V ",,,縫,sew or stitch by hand,
35274,thīⁿ-ba̍t,thinn7-bat8,thīnn-ba̍t,thinn7-bat8,"V ",,thīN-ba̍t-ba̍t,密縫,stitch tightly,
35275,thiaⁿ,thiann,thiann,thiann,"N ",keng,,廳,"a common room in a house, where guests may be entertained",
35276,thiaⁿ,thiann,thiann,thiann,"Nsf ",,,廳,department (provicial gov't),
35277,thiaⁿ,thiann,thiann,thiann,"Nsf ",,,廳,hall,
35278,thiaⁿ,thiann,thiann,thiann,"Nsf ",,,廳,shop,
35279,thiaⁿ,thiann,thiann,thiann,"V ",,,"聽 ",hear (pVmod Bib oe7/boe7-kiN3: understand),
35280,thiaⁿ,thiann,thiann,thiann,"V ",,,聽,listen,
35281,thiaⁿ-bêng,thiann-beng5,thiann-bîng,thiann-bing5,"V ",,,聽清楚,hear clearly,
35282,thiaⁿ-chai,thiann-chai,thiann-tsai,thiann-tsai,"V ",,,聽說,know by listening or hearing,
35283,thiaⁿ-chín-khì,thiann-chin2-khi3,thiann-tsín-khì,thiann-tsin2-khi3,N Med,,,聽診器,stethoscope,
35284,thiaⁿ-chiòng,thiann-chiong3,thiann-tsiòng,thiann-tsiong3,"N ",,,聽眾,"audience, listeners",
35285,thiaⁿ-chhùi,thiann-chhui3,thiann-tshuì,thiann-tshui3,"VO ",,,聽話,"follow advice, obey",
35286,thiaⁿ-chhut,thiann-chhut,thiann-tshut,thiann-tshut,"V ",,,聽出,understand the implication of what is heard,
35287,thiaⁿ-kak,thiann-kak,thiann-kak,thiann-kak,"N ",,,聽覺,sense of hearing,
35288,thiaⁿ-kìⁿ,thiann-kinn3,thiann-kìnn,thiann-kinn3,"V ",,,聽見,jhear,
35289,thiàⁿ-kóng,thiann3-kong2,thiànn-kóng,thiann3-kong2,"V ",,,據說,"hear (people) say, hear that",
35290,thiaⁿ-khò,thiann-kho3,thiann-khò,thiann-kho3,"VO ",,,聽課,attend a lecture (class),
35291,thiaⁿ-khòaⁿ,thiann-khoann3,thiann-khuànn,thiann-khuann3,"V ",,,聽看,listen to see whether (followed by a Cl),
35292,thiaⁿ-le̍k,thiann-lek8,thiann-li̍k,thiann-lik8,"N ",,,聽力,keeness of hearing,
35293,thiaⁿ-oē,thiann-oe7,thiann-uē,thiann-ue7,"VO ",,,聽話,obey,
35294,thiaⁿ-sìn,thiann-sin3,thiann-sìn,thiann-sin3,"V ",,,聽信,hear and believe,
35295,thiaⁿ-sîn-keng,thiann-sin5-keng,thiann-sîn-king,thiann-sin5-king,N Anat,,,聽神經,acoustic nerve,
35296,thiaⁿ-siū,thiann-siu7,thiann-siū,thiann-siu7,"V ",,,聽受,hear and receive,
35297,thiaⁿ-sūn,thiann-sun7,thiann-sūn,thiann-sun7,"V ",,,聽話,hear and obey,
35298,thiaⁿ-tâng,thiann-tang5,thiann-tâng,thiann-tang5,"N ",ki,,聽筒,(telephone) receiver,
35299,thiaⁿ-tn̂g,thiann-tng5,thiann-tn̂g,thiann-tng5,"N ",keng,,聽堂,common central hall of a large house,
35300,thiaⁿ-thàn,thiann-than3,thiann-thàn,thiann-than3,"V ",,,聽從,obey,
35301,thiàⁿ,thiann3,thiànn,thiann3,"V ",,,愛,love,
35302,thiàⁿ,thiann3,thiànn,thiann3,"Ve ",,,痛,"ache, hurt, give pain",
35303,thiàⁿ-kiáⁿ,thiann3-kiann2,thiànn-kiánn,thiann3-kiann2,"VO ",,,疼孩子,love a child,
35304,thiàⁿ-lâng,thiann3-lang5,thiànn-lâng,thiann3-lang5,"VO ",,,愛人,love people,
35305,thiáⁿ-sioh,thiann2-sioh,thiánn-sioh,thiann2-sioh,"V ",,,痛惜,love and cherish,
35306,thiàⁿ-thàng,thiann3-thang3,thiànn-thàng,thiann3-thang3,"V, N ",,,疼痛,love,
35307,thiāⁿ,thiann7,thiānn,thiann7,"V ",,,養,take a little medicaine or nourishment,
35308,thiāⁿ-táⁿ,thiann7-tann2,thiānn-tánn,thiann7-tann2,"V ",,,壯膽,take a nip of liquor to keep up one's spirits,
35309,thiah,thiah,thiah,thiah,"V ",,,撕,"tear (cloth, paper)",
35310,thiah,thiah,thiah,thiah,"V ",,,撕,tear down (building),
35311,thiah,thiah,thiah,thiah,"V ",,,撕,dissolve (partnership),
35312,thiah,thiah,thiah,thiah,"V ",,,撕,"buy (ticket, medicine on prescription)",
35313,thiah-bêng,thiah-beng5,thiah-bîng,thiah-bing5,"V ",,,闡明,explain the meaning clearly,
35314,thiah-chhiûⁿ,thiah-chhiunn5,thiah-tshiûnn,thiah-tshiunn5,"VO ",,,拆牆,tear down a wall,
35315,thiah-chhùi,thiah-chhui3,thiah-tshuì,thiah-tshui3,"V ",,thiah-chhùi-chhùi,拆碎,tear to pieces,
35316,thiah,thiah,thiah,thiah,"V ",,,破曉,break (dawn),
35317,thiah-hiat-ka̍k,thiah-hiat-kak8,thiah-hiat-ka̍k,thiah-hiat-kak8,"V ",,,撕掉,tear up and throw away,
35318,thiah-húi,thiah-hui2,thiah-huí,thiah-hui2,"R V ",,,拆毀,destroy by tearing down,
35319,thiah-io̍h,thiah-ioh8,thiah-io̍h,thiah-ioh8,"VO ",,,買藥,buy medicine on prescription,
35320,thiah-jī-sò͘,thiah-ji7-soo3,thiah-jī-sòo,thiah-ji7-soo3,"VO ",,,占卜,explain the meaning of a character,
35321,thiah-jī-sò͘,thiah-ji7-soo3,thiah-jī-sòo,thiah-ji7-soo3,"VO ",,,占卜,tell fortunes by analyzing the characters of one's name,
35322,thiah-khui,thiah-khui,thiah-khui,thiah-khui,"R V ",,,拆開,"rip open, tear open",
35323,thiah-li̍h,thiah-lih8,thiah-li̍h,thiah-lih8,"V ",,,拆開,tear open,
35324,thiah-li̍h-siong,thiah-lih8-siong,thiah-li̍h-siong,thiah-lih8-siong,N Med,,,撕裂傷,lacerated wound,
35325,thiah-pún,thiah-pun2,thiah-pún,thiah-pun2,"N ",,,分冊,separate volume,
35326,thiah-sak,thiah-sak,thiah-sak,thiah-sak,"V ",,,撕掉,tear up and throw away,
35327,thiah-phiò,thiah-phio3,thiah-phiò,thiah-phio3,"VO ",,,買票,buy a ticket,
35328,thiah-phòa,thiah-phoa3,thiah-phuà,thiah-phua3,"V ",,,扯破,tear,
35329,thiah-sòaⁿ,thiah-soann3,thiah-suànn,thiah-suann3,"V ",,,拆散,tear apart,
35330,thiah-tn̄g,thiah-tng7,thiah-tn̄g,thiah-tng7,"V ",,,拆斷,"tear, rend",
35331,thiah-toaⁿ,thiah-toann,thiah-tuann,thiah-tuann,"VO ",,,買票,buy a ticket,
35332,thiam,thiam,thiam,thiam,"V  R ",,,添,"add, increase, refill (col thiN)",
35333,thiam-chù,thiam-chu3,thiam-tsù,thiam-tsu3,"V ",,,添註,add a note or notation,
35334,thiam-chù,thiam-chu3,thiam-tsù,thiam-tsu3,"N ",,,添註,"codicil, notation",
35335,thiam-hok-siū,thiam-hok-siu7,thiam-hok-siū,thiam-hok-siu7,"VO ",,,添福壽,add happiness and longevity,
35336,thiam-hù,thiam-hu3,thiam-hù,thiam-hu3,"V ",,,記入  填上,append (to a document),
35337,thiam-pó͘,thiam-poo2,thiam-póo,thiam-poo2,"V ",,,添補,add an amendment,
35338,thiam-teng,thiam-teng,thiam-ting,thiam-ting,"VO ",,,添丁,have another boy,
35339,thiám,thiam2,thiám,thiam2,"SV ",,,疲倦,exhausted,
35340,thiám,thiam2,thiám,thiam2,"SV ",,"thiám-thiám, thiám-thiám-thiám",累  過分,severe,
35341,thiám,thiam2,thiám,thiam2,"Pmod ",,,累  過分,severely,
35342,thiám-mē,thiam2-me7,thiám-mē,thiam2-me7,"V ",,,痛罵,scold severely,
35343,thiám-mī,thiam2-mi7,thiám-mī,thiam2-mi7,"V ",,,諂媚,flatter,
35344,thiám-mī,thiam2-mi7,thiám-mī,thiam2-mi7,"N ",,,諂媚,flattery,
35345,thiám-thâu,thiam2-thau5,thiám-thâu,thiam2-thau5,"SV ",,,疲倦,"exhausted, tired",
35346,thiâm-chēng,thiam5-cheng7,thiâm-tsīng,thiam5-tsing7,"SV ",,,恬靜,quiet and reserved,
35347,thiām,thiam7,thiām,thiam7,"V ",,,沉,"sink, submerge",
35348,thiām,thiam7,thiām,thiam7,"V ",,,沉,throw into water,
35349,thiām-sí,thiam7-si2,thiām-sí,thiam7-si2,"R  V ",,,溺死,drown a person,
35350,thian,thian,thian,thian,"M ",,,天,day,
35351,thian,thian,thian,thian,"Nmod ",,,天,"heaven(ly), sky",
35352,thian-á,thian-a2,thian-á,thian-a2,"Pmod ",,thian-á-á,不管如何,"in spite of any objection, whatever happens",
35353,thian-bēng,thian-beng7,thian-bīng,thian-bing7,"N ",,,天命,drcree of Heaven,
35354,thian-bēng,thian-beng7,thian-bīng,thian-bing7,"N ",,,天命,divine providence fate,
35355,thian-bō͘,thian-boo7,thian-bōo,thian-boo7,"N ",ê,,帳篷,tent,
35356,thian-bō͘-chiàm-su,thian-boo7-chiam3-su,thian-bōo-tsiàm-su,thian-boo7-tsiam3-su,"N ",chiah,,梅毛蟲,"tent caterpillar, Malacosoma neustria testacea",
35357,thian-bû jī-ji̍t,thian-bu5 ji7-jit8,thian-bû jī-ji̍t,thian-bu5 ji7-jit8,"idiom ",,,天無二日,"""Heaven doesn't have two suns"". I.e. - There can be only one God, or emperor, etc",
35358,thian-bûn-ka,thian-bun5-ka,thian-bûn-ka,thian-bun5-ka,"N ",ê,,星學者,astronomer,
35359,thian-bûn-tâi,thian-bun5-tai5,thian-bûn-tâi,thian-bun5-tai5,"N ",keng,,天文台,astronomical observatory,
35360,thian-bûn tē-lí,thian-bun5 te7-li2,thian-bûn tē-lí,thian-bun5 te7-li2,"N ",,,天文地理,astronomy and geography,
35361,thian-bûn tē-lí,thian-bun5 te7-li2,thian-bûn tē-lí,thian-bun5 te7-li2,"N ",,,天文地理,astrology and geomancy,
35362,thian-bûn-tong,thian-bun5-tong,thian-bûn-tong,thian-bun5-tong,"N ",châng,,天門冬,Asparagus cochinchinensis,
35363,thian-chai,thian-chai,thian-tsai,thian-tsai,"N ",,,天災,"natural calamity, an act of God",
35364,thian-châi,thian-chai5,thian-tsâi,thian-tsai5,"N ",,,天才,"natural ability, genius",
35365,thian-chè-sòaⁿ,thian-che3-soann3,thian-tsè-suànn,thian-tse3-suann3,"N ",,,地平線,the horizon,
35366,thian-chin,thian-chin,thian-tsin,thian-tsin,"SV ",,,天真,innocent,
35367,thian-chin bû-siâ,thian-chin bu5-sia5,thian-tsin bû-siâ,thian-tsin bu5-sia5,"SV ",,,天真無邪,"innocent, simple and unaffected",
35368,thian-chit,thian-chit,thian-tsit,thian-tsit,"N ",,,天職,"calling, vocation",
35369,thian-chu,thian-chu,thian-tsu,thian-tsu,"N ",,,天資,"natural endowment, talent",
35370,Thian-chú,Thian-chu2,Thian-tsú,Thian-tsu2,"N  RC ",,,天主,"God (cf Siong7-te3, Sin5)",
35371,Than-chú-kàu,Than-chu2-kau3,Than-tsú-kàu,Than-tsu2-kau3,"N ",,,天主教,Toman Catholic Church,
35372,thian-chú-keng,thian-chu2-keng,thian-tsú-king,thian-tsu2-king,"N  RC ",,,天主經,"the ""Our Father""",
35373,Thian-chú-sèng,Thian-chu2-seng3,Thian-tsú-sìng,Thian-tsu2-sing3,"N  RC ",,,天主性,divine nature,
35374,thian-chú-tn̂g,thian-chu2-tng5,thian-tsú-tn̂g,thian-tsu2-tng5,"N  RC ",,,天主堂,church (building),
35375,thian-chhâm,thian-chham5,thian-tshâm,thian-tsham5,N Ent,chiah,,天蠶,"wild silk moth, Eriogyna pyretorim",
35376,thian-chhó,thian-chho2,thian-tshó,thian-tsho2,"N ",châng,,天草,Momordica cochinchinensis,
35377,thian-giâ,thian-gia5,thian-giâ,thian-gia5,"N ",,,天涯,the horizon,
35378,thian-gô,thian-go5,thian-gô,thian-go5,"N ",chiah,,鵠,"Alpheraky's swan, Cygnus bewickii jankowskii",
35379,thian-gô-jiông-kim-ku,thian-go5-jiong5-kim-ku,thian-gô-jiông-kim-ku,thian-go5-jiong5-kim-ku,N Ent,chiah,,天鵝絨金龜,"a bettle that jantacks fruit and ornamental trees, Serica orientalis",
35380,thian-gô-jiông-kim-ku,thian-go5-jiong5-kim-ku,thian-gô-jiông-kim-ku,thian-go5-jiong5-kim-ku,N Ent,chiah,,台灣天鵝絨金龜,"a kind of beetle that attacks ginger and sugar cane, Aserica formosae",
35381,thian-hô,thian-ho5,thian-hô,thian-ho5,"N ",,,天河,The Milky Way,
35382,thian-hō͘,thian-hoo7,thian-hōo,thian-hoo7,"N ",,,天后,Queen of Heaven (title given to Ma2-cho.2 goddess of sailors),
35383,thian-hō͘,thian-hoo7,thian-hōo,thian-hoo7,"N ",,,天后,"Queen of Heaven, Astarte",
35384,thian-hoa,thian-hoa,thian-hua,thian-hua,"N ",,,天花,smallpox,
35385,thian-hoa,thian-hoa,thian-hua,thian-hua,"N ",châng,,天花,Melothria maderospatana,
35386,thian-hoa-pán,thian-hoa-pan2,thian-hua-pán,thian-hua-pan2,"N ",,,天花板,ceiling,
35387,thian-hoan tē-ho̍k,thian-hoan te7-hok8,thian-huan tē-ho̍k,thian-huan te7-hok8,"Sph ",,,天翻地覆,universal confusion,
35388,thian-hok,thian-hok,thian-hok,thian-hok,"N ",,,天福,"bliss, heavenly happiness",
35389,Thian-hông,Thian-hong5,Thian-hông,Thian-hong5,"N ",,,天皇,Japan: The Emperor,
35390,thian-hông-chháu-kū,thian-hong5-chhau2-ku7,thian-hông-tsháu-kū,thian-hong5-tshau2-ku7,"N ",châng,,天蓬草舅,Wedelia climensis var. rolussta,
35391,thian-hù,thian-hu3,thian-hù,thian-hu3,"N ",,,天賦,"natural endowment, talent",
35392,Thian-ì,Thian-i3,Thian-ì,Thian-i3,"N ",,,天意,"divine will, will of Heaven, providence",
35393,thian-ian ê cheng-chha,thian-ian e5 cheng-chha,thian-ian ê tsing-tsha,thian-ian e5 tsing-tsha,"Sph ",,,天淵之別,as far apart as the sky is from the bottom of a pit,
35394,thian-jiân,thian-jian5,thian-jiân,thian-jian5,"Nmod ",,,天然,natural,
35395,thian-ka,thian-ka,thian-ka,thian-ka,"N ",,,天家,heavenly home,
35396,thian-kan,thian-kan,thian-kan,thian-kan,"N ",,,天天,"the first series of ten characters used in the kah-chi2 or calendar cycle of 60 years, also ised as A, B, C, etc in lists, and as ordinal numerals, first, second, third, etc",
35397,thian-káu,thian-kau2,thian-káu,thian-kau2,"N ",chiah,,翠鳥,"eastern little blue kingfisher, Indian common kingfisher, Alcedo atthis bengalensis",
35398,thian-káu-kia̍t,thian-kau2-kiat8,thian-káu-kia̍t,thian-kau2-kiat8,"N ",,,猩紅熱,scarlet fever,
35399,thian-káu-tiau,thian-kau2-tiau,thian-káu-tiau,thian-kau2-tiau,N Ich,bé,,天狗鯛,"either of two genera of surgeonfish, family Acanthuridae",
35400,thian-kek tōe-oán,thian-kek toe7-oan2,thian-kik tuē-uán,thian-kik tue7-uan2,"Sph ",,,天高地遠,as far apart as heaven and earth,
35401,thian-kiô,thian-kio5,thian-kiô,thian-kio5,"N ",,,天橋,overpass,
35402,thian-kó-chiáu,thian-ko2-chiau2,thian-kó-tsiáu,thian-ko2-tsiau2,"N ",chiah,,紫鷺,"eastern purple heron, Ardea purpurea manilensis",
35403,Thian-kok,Thian-kok,Thian-kok,Thian-kok,N Bib,,,天國,Kingdom of Heaven,
35404,thian-kun,thian-kun,thian-kun,thian-kun,N Bib,,,天軍,heavenly host,
35405,thian-lâm-seng,thian-lam5-seng,thian-lâm-sing,thian-lam5-sing,"N ",châng,,巨花蒟蒻,"large-flower amorphophallus, Amorphophallus gigantiflorus",
35406,Thian-lâng-chhiⁿ,Thian-lang5-chhinn,Thian-lâng-tshinn,Thian-lang5-tshinn,"N ",,,天狼星,Sirius,
35407,thian-lí,thian-li2,thian-lí,thian-li2,"N ",,,天理,"divine law, nemesis",
35408,thian-liông,thian-liong5,thian-liông,thian-liong5,"N ",,,良心,conscience,
35409,thian-lô-pán,thian-lo5-pan2,thian-lô-pán,thian-lo5-pan2,"N ",,,天花板,ceiling,
35410,thian-lô tē-bāng,thian-lo5 te7-bang7,thian-lô tē-bāng,thian-lo5 te7-bang7,"Sph ",,,天羅地網,Heaven (sets) a snare and earth (spreads) a net (to catch wrongdoers),
35411,thian-lō͘,thian-loo7,thian-lōo,thian-loo7,"N Xtn ",,,天路,the road to heaven,
35412,thian-lûn,thian-lun5,thian-lûn,thian-lun5,"N ",,,天倫,natural human relationships,
35413,thiah-lûn chi-lo̍k,thiah-lun5 chi-lok8,thiah-lûn tsi-lo̍k,thiah-lun5 tsi-lok8,"N ",,,天倫之樂,the happiness of human relationships,
35414,thian-li̍t,thian-lit8,thian-li̍t,thian-lit8,"N ",,,天律,"divine law, the law of Heaven",
35415,thian-mn̂g,thian-mng5,thian-mn̂g,thian-mng5,"N Xtn ",,,"天門 ",heaven's gate,
35416,Thian-ông,Thian-ong5,Thian-ông,Thian-ong5,"Tit ",,,天王,god (used with a surname) <Li2 Thian-ong5: the god Li>,
35417,thian-peng,thian-peng,thian-ping,thian-ping,"N ",,,天兵,Tao: the heavenly host,
35418,thian-pông,thian-pong5,thian-pông,thian-pong5,"N ",,,天花板,veiling,
35419,thian-phêng,thian-pheng5,thian-phîng,thian-phing5,"N ",,,天秤,"balances, scales",
35420,thian-sèng,thian-seng3,thian-sìng,thian-sing3,"N ",,,天性,"natural disposition, anture",
35421,thian-sèng chū-jiân,thian-seng3 chu7-jian5,thian-sìng tsū-jiân,thian-sing3 tsu7-jian5,"Sph ",,,自然的,natural,
35422,thian-sian-tîn,thian-sian-tin5,thian-sian-tîn,thian-sian-tin5,"N ",châng,,天仙藤,"a plant of the birthwort family, Aaristolochia mollis",
35423,thian-sîn,thian-sin5,thian-sîn,thian-sin5,"N ",,,天神,heavenly spirit,
35424,thian-siōng,thian-siong7,thian-siōng,thian-siong7,"Np ",,,天上,heaven,
35425,thian-sò͘,thian-soo3,thian-sòo,thian-soo3,"N ",,,天意,"Heaven's decree, fate",
35426,thian-tē,thian-te7,thian-tē,thian-te7,"Np ",,,天地,heaven and earth,
35427,thian-téng,thian-teng2,thian-tíng,thian-ting2,"N ",,,天頂,the zenith,
35428,thian-têng,thian-teng5,thian-tîng,thian-ting5,"N ",,,天庭,heaven,
35429,thian-tiâu,thian-tiau5,thian-tiâu,thian-tiau5,"N ",,,天律,Heaven's law,
35430,thian-tiok-tiau,thian-tiok-tiau,thian-tiok-tiau,thian-tiok-tiau,N Ich,bé,,天竺鯛,"any of three genera of carfianl fish, family Apogonidae",
35431,thian-tiok-tōa-hî,thian-tiok-toa7-hi5,thian-tiok-tuā-hî,thian-tiok-tua7-hi5,N Ich,bé,,天竺鮀魚,"a kind of rudderfish, Kyphosus cinerascens",
35432,thian-tō,thian-to7,thian-tō,thian-to7,"N ",,,天道,"divine justice, nemesis",
35433,thian-tóe-tiám,thian-toe2-tiam2,thian-tué-tiám,thian-tue2-tiam2,"N ",,,天底點,the nadir,
35434,thian-tōe,thian-toe7,thian-tuē,thian-tue7,"Np ",,,天地,heaven and earth,
35435,Thian-tông,Thian-tong5,Thian-tông,Thian-tong5,"Np ",,,天堂,heaven,
35436,thian-tho̍h,thian-thoh8,thian-tho̍h,thian-thoh8,"SV ",,thian-thian-tho̍h-tho̍h,荒謬,"absurd, extravagant",
35437,thian-un,thian-un,thian-un,thian-un,"N ",,,天恩,divine favor,
35438,thian-un,thian-un,thian-un,thian-un,"N ",,,天恩,royal favor,
35439,thian-ūn,thian-un7,thian-ūn,thian-un7,"N ",,,天運,cuclical date of the year used in fortunatelling or astrology,
35440,thian-ūn,thian-un7,thian-ūn,thian-un7,"N ",,,天運,fate,
35441,thian-ūn,thian-un7,thian-ūn,thian-un7,"N ",,,天運,orbit of the heavenly bodies,
35442,thián-khui,thian2-khui,thián-khui,thian2-khui,"V ",,,展開,"open out (book, fan, wings, etc)",
35443,thiân,thian5,thiân,thian5,"V ",,,填,write out (an account),
35444,thiân,thian5,thiân,thian5,"V ",,,填,fill in (a blank),
35445,thiân-pió,thian5-pio2,thiân-pió,thian5-pio2,"VO ",,,填表,fill in a form,
35446,thiân-siá,thian5-sia2,thiân-siá,thian5-sia2,"V ",,,填寫,fill in (particulars),
35447,thiân-sû,thian5-su5,thiân-sû,thian5-su5,"VO ",,,填詞,write verses according to a fixed pattern,
35448,thiap,thiap,thiap,thiap,"M ",,,帖,dose or packet (of Chinese medicine),
35449,thiap,thiap,thiap,thiap,"N ",tiuⁿ,,帖,invitation card,
35450,thiap,thiap,thiap,thiap,"V ",,,貼,make up a deficit,
35451,thiap,thiap,thiap,thiap,"V ",,,貼,pay a premium (in exchanging money),
35452,thiap-á,thiap-a2,thiap-á,thiap-a2,"N ",tiuⁿ,,請帖,invitation card,
35453,Thiap-sat-lô-nî-ka,Thiap-sat-lo5-ni5-ka,Thiap-sat-lô-nî-ka,Thiap-sat-lo5-ni5-ka,N Bib Prot,,,帖撒羅尼迦前(後)書,Thessalonica (cf Tek-sat-lok8-ni5),
35454,thia̍p,thiap8,thia̍p,thiap8,"V ",,,疊,pile up,
35455,thia̍p,thiap8,thia̍p,thiap8,"VO ",,,砌磚,lay brick,
35456,thia̍p-si̍t,thiap8-sit8,thia̍p-si̍t,thiap8-sit8,"SV ",,,塞緊,"neatly put up, compact",
35457,thiat,thiat,thiat,thiat,"V ",,,撤,remove (dishes after feast),
35458,thiat,thiat,thiat,thiat,"V ",,,撤,"abolish (custom, rite, tax, etc)",
35459,thiat,thiat,thiat,thiat,"V ",,,撤,evacuate (troops),
35460,thiat-hôe,thiat-hoe5,thiat-huê,thiat-hue5,"V ",,,撤回,"repeal, revoke, withdraw",
35461,thiat-iâⁿ,thiat-iann5,thiat-iânn,thiat-iann5,"VO ",,,拔營,strike camp,
35462,thiat-khì,thiat-khi3,thiat-khì,thiat-khi3,"V ",,,撤銷,remove (dishes after feast),
35463,thiat-khì,thiat-khi3,thiat-khì,thiat-khi3,"V ",,,撤銷,"abolish (custom, rite, tax, etc)",
35464,thiat-khì,thiat-khi3,thiat-khì,thiat-khi3,"V ",,,撤銷,evacuate (troops),
35465,thiat-siau,thiat-siau,thiat-siau,thiat-siau,"V ",,,撤銷,eliminate,
35466,thiat-té,thiat-te2,thiat-té,thiat-te2,"Pmod, SV ",,,徹底,"thoroughly, completely",
35467,thiat-tí,thiat-ti2,thiat-tí,thiat-ti2,"Pmod, SV ",,,徹底,"thoroughly, completely",
35468,thiat-tóe,thiat-toe2,thiat-tué,thiat-tue2,"Pmod, SV ",,,徹底,"thoroughly, completely",
35469,thiat-thè,thiat-the3,thiat-thè,thiat-the3,"V ",,,撤退,"evacuate, withdraw",
35470,thiau,thiau,thiau,thiau,"V ",,,挑,carry on the shoulder with a pole (one person),
35471,thiau,thiau,thiau,thiau,"V ",,,挑,"choose, select",
35472,thiau-ah,thiau-ah,thiau-ah,thiau-ah,"N ",chiah,,小水鴨,"green-winged teal, Anas crecca crecca",
35473,thiau-bân,thiau-ban5,thiau-bân,thiau-ban5,"SV ",,,刁難,obstinate,
35474,thiau-chiàn,thiau-chian3,thiau-tsiàn,thiau-tsian3,"V ",,,挑戰,challenge to a fight,
35475,thiau-hu,thiau-hu,thiau-hu,thiau-hu,"N ",ê,,挑夫,"carrier, porter",
35476,thiau-kang,thiau-kang,thiau-kang,thiau-kang,"Pmod ",,,故意,"intentionally, purposely",
35477,thiau-kèng,thiau-keng3,thiau-kìng,thiau-king3,"V ",,,特選,select,
35478,thiau-kò͘-ì,thiau-koo3-i3,thiau-kòo-ì,thiau-koo3-i3,"Pmod ",,,故意,"intentionally, purposely, on purpose",
35479,thiau-lân,thiau-lan5,thiau-lân,thiau-lan5,"V ",,,為難,cause another trouble,
35480,thiau-sèng,thiau-seng3,thiau-sìng,thiau-sing3,"N ",,,超自然的,supernatural quality,
35481,thiau-soán,thiau-soan2,thiau-suán,thiau-suan2,"V ",,,挑選,select,
35482,thiau-tî,thiau-ti5,thiau-tî,thiau-ti5,"Pmod ",,,故意,"intentionally, on purpose",
35483,thiàu,thiau3,thiàu,thiau3,"V ",,,跳,"jump, leap",
35484,thaiù-bú,thaiu3-bu2,thàiu-bú,thaiu3-bu2,"V ",,,跳舞,dance,
35485,thaiù-chiūⁿ,thaiu3-chiunn7,thàiu-tsiūnn,thaiu3-tsiunn7,"V ",,,跳上,jump up on,
35486,thiàu-chô,thiau3-cho5,thiàu-tsô,thiau3-tso5,"VO ",,,跳槽,jump one job to another,
35487,thaiù-chōa,thaiu3-choa7,thàiu-tsuā,thaiu3-tsua7,"V ",,,跳行,skip a line (in writing),
35488,thiàu-chúi,thiau3-chui2,thiàu-tsuí,thiau3-tsui2,"V ",,,跳水,"jump into water, dive into water",
35489,thiàu-chúi,thiau3-chui2,thiàu-tsuí,thiau3-tsui2,"V ",,,跳水,drown oneself,
35490,thiàu-chhiûⁿ,thiau3-chhiunn5,thiàu-tshiûnn,thiau3-tshiunn5,"VO ",,,跳牆,jump over a wall,
35491,thiàu-hû,thiau3-hu5,thiàu-hû,thiau3-hu5,"N ",chiah,,跳行鳥,"grey-headed lapwing, Microsarcops chinerea",
35492,thiàu-io̍k,thiau3-iok8,thiàu-io̍k,thiau3-iok8,"V ",,,跳躍,leap,
35493,thiàu-kè,thiau3-ke3,thiàu-kè,thiau3-ke3,"V ",,,跳過,jump across,
35494,thiàu-soh,thiau3-soh,thiàu-soh,thiau3-soh,"VO ",,,跳繩,skip a rope,
35495,thiàu-tâng,thiau3-tang5,thiàu-tâng,thiau3-tang5,"N ",,,跳神,dance in religious ecstasy,
35496,thiàu-thiàu,thiau3-thiau3,thiàu-thiàu,thiau3-thiau3,"pVmod ",,,跳跳,in a lively or skipping manner,
35497,thiâu-á,thiau5-a2,thiâu-á,thiau5-a2,"N ",,,面皰,pimple (on the face),
35498,thiāu,thiau7,thiāu,thiau7,"N ",ki,,柱,"column, pillar",
35499,thiāu-á,thiau7-a2,thiāu-á,thiau7-a2,"N ",ki,,柱子,"pillar, post",
35500,thiāu-chio̍h,thiau7-chioh8,thiāu-tsio̍h,thiau7-tsioh8,"N ",e,,柱石,"base of a pillar, plinth",
35501,thiāu-îⁿ,thiau7-inn5,thiāu-înn,thiau7-inn5,"N ",,,柱子,pillars and beams,
35502,thiāu-pêng,thiau7-peng5,thiāu-pîng,thiau7-ping5,"N ",,,捱壁柱,"pilaster, half-pillar",
35503,thiāu-pôaⁿ,thiau7-poann5,thiāu-puânn,thiau7-puann5,"N ",,,柱盤,foundation of a pillar,
35504,thiāu-siōng,thiau7-siong7,thiāu-siōng,thiau7-siong7,"N ",ki,,柱像,carved pillar,
35505,thiāu-táu,thiau7-tau2,thiāu-táu,thiau7-tau2,"N ",ê,,柱頭斗栱,"ornamental top of a pillar, capital",
35506,thiāu-téng,thiau7-teng2,thiāu-tíng,thiau7-ting2,"Np ",,,柱頂,top of a pillar,
35507,thih,thih,thih,thih,"N ",,,鐵,"iron, steel",
35508,thih-á,thih-a2,thih-á,thih-a2,"N ",châng,,大明橘,"sequin myrsine, Mysine seguinii",
